year,indicator_id,mean,median
2013,Z2BR,139228.85,100388.59
2013,Z3BR,185804.92,136023.77
2013,Z4BR,248899.42,181843.0
2013,Z5BR,345083.26,241757.0
2013,ZALL,186285.49,135312.48
2013,ZATT,274204.59,214445.74
2013,ZCON,189099.96,144382.57
2013,ZSFH,198538.53,137947.0
2013,ZABT,98399.94,72285.16
2014,Z1BR,139226.54,100709.0
2014,Z2BR,147820.05,104731.2
2014,Z3BR,197162.1,141535.0
2014,Z4BR,263197.86,188805.32
2014,Z5BR,363726.28,250419.0
2014,ZALL,197982.45,141491.54
2014,ZATT,285157.7,220529.31
2014,ZCON,202525.17,151702.92
2014,ZSFH,211246.23,144196.0
2014,ZABT,104172.85,75434.89
2015,Z1BR,143654.48,102515.0
2015,Z2BR,154512.1,107900.0
2015,Z3BR,206883.62,146516.17
2015,Z4BR,274798.95,194883.5
2015,Z5BR,376847.86,256859.2
2015,ZALL,208047.59,147038.25
2015,ZATT,294142.07,226838.49
2015,ZCON,212989.83,157944.0
2015,ZSFH,222009.15,149854.39
2015,ZABT,109333.91,78668.52
2016,Z1BR,149839.09,105822.53
2016,Z2BR,161838.54,112338.12
2016,Z3BR,216863.62,153109.28
2016,Z4BR,286889.4,203344.52
2016,Z5BR,391595.28,266375.0
2016,ZALL,217904.92,153496.22
2016,ZATT,305657.13,236296.18
2016,ZCON,223552.97,165109.29
2016,ZSFH,232270.87,156321.0
2016,ZABT,114890.11,82435.0
2017,Z1BR,157146.89,110598.0
2017,Z2BR,170660.11,118382.04
2017,Z3BR,228058.06,160864.79
2017,Z4BR,299820.88,213012.65
2017,Z5BR,406744.3,276815.5
2017,ZALL,228644.95,161268.0
2017,ZATT,315774.53,244914.94
2017,ZCON,235237.97,173945.5
2017,ZSFH,243447.74,164136.49
2017,ZABT,121170.46,86379.87
2018,Z1BR,166096.29,116271.89
2018,Z2BR,181856.66,125863.24
2018,Z3BR,242207.21,170198.99
2018,Z4BR,316380.45,224177.41
2018,Z5BR,426411.57,289107.0
2018,ZALL,242666.64,170711.07
2018,ZATT,329200.26,255231.24
2018,ZCON,250108.27,184246.86
2018,ZSFH,258184.63,173893.84
2018,ZABT,129344.68,92227.28
2019,Z1BR,172383.9,122359.0
2019,Z2BR,189410.66,133182.85
2019,Z3BR,250991.42,179024.0
2019,Z4BR,326393.31,234531.12
2019,Z5BR,438666.21,300676.0
2019,ZALL,252426.64,180480.9
2019,ZATT,340115.65,265627.56
2019,ZCON,258548.63,193032.51
2019,ZSFH,268157.24,183813.01
2019,ZABT,136458.34,98655.05
2020,Z1BR,179912.09,128817.0
2020,Z2BR,199138.66,141813.0
2020,Z3BR,263339.6,190312.26
2020,Z4BR,340079.96,247215.73
2020,Z5BR,453635.66,314310.0
2020,ZALL,265820.53,192857.25
2020,ZATT,354765.55,279899.25
2020,ZCON,267892.82,203164.1
2020,ZSFH,281885.95,196398.22
2020,ZABT,145989.54,107068.0
2021,Z1BR,200652.8,143535.5
2021,Z2BR,224704.83,160791.0
2021,Z3BR,302530.96,219310.16
2021,Z4BR,393038.27,284646.39
2021,Z5BR,529842.42,363770.71
2021,ZALL,306071.01,221226.1
2021,ZATT,412782.9,320652.62
2021,ZCON,298133.25,229048.0
2021,ZSFH,324930.75,225764.49
2021,ZABT,168247.18,122377.43
2022,Z1BR,240583.06,180306.98
2022,Z2BR,269403.44,197311.17
2022,Z3BR,360452.64,265619.0
2022,Z4BR,497687.75,366736.12
2022,Z5BR,724815.02,500838.74
2022,ZALL,359035.79,260748.48
2022,ZATT,492544.31,376776.13
2022,ZCON,350934.15,275248.76
2022,ZSFH,383621.42,266731.65
2022,ZABT,197007.17,142602.43
2023,Z1BR,258528.1,207957.9
2023,Z2BR,287685.37,220681.39
2023,Z3BR,379388.79,289685.95
2023,Z4BR,536816.57,406059.88
2023,Z5BR,831441.03,581519.19
2023,ZALL,370641.35,277326.19
2023,ZATT,506222.2,390675.45
2023,ZCON,365506.66,294156.36
2023,ZSFH,396720.74,284632.14
2023,ZABT,209233.72,154789.3
2024,Z1BR,268310.42,218793.53
2024,Z2BR,301488.26,233537.66
2024,Z3BR,397905.95,303614.73
2024,Z4BR,562152.38,421799.35
2024,Z5BR,868578.66,605271.53
2024,ZALL,388423.61,290381.27
2024,ZATT,522953.54,404021.26
2024,ZCON,378217.84,303345.4
2024,ZSFH,415024.25,297829.92
2024,ZABT,225617.5,168774.19
2025,Z1BR,271748.89,223048.93
2025,Z2BR,314521.51,242979.82
2025,Z3BR,418351.03,318484.37
2025,Z4BR,594957.86,443328.63
2025,Z5BR,927708.6,639490.64
2025,ZALL,415510.98,310217.93
2025,ZATT,533203.03,413548.53
2025,ZCON,390470.91,311103.71
2025,ZSFH,446779.02,320177.68
2025,ZABT,232556.43,174881.2
