region_id,region_type,region
96911,zip,92553;CA;Riverside-San Bernardino-Ontario CA;Moreno Valley;Riverside County
62020,zip,11209;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
94410,zip,84043;UT;Provo-Orem UT;Lehi;Utah County
63776,zip,14850;NY;Ithaca NY;Ithaca;Tompkins County
97222,zip,93306;CA;Bakersfield CA;Bakersfield;Kern County
93205,zip,80015;CO;Denver-Aurora-Lakewood CO;Centennial;Arapahoe County
91744,zip,77095;TX;Houston-The Woodlands-Sugar Land TX;Houston;Harris County
97167,zip,93230;CA;Hanford-Corcoran CA;Hanford;Kings County
70904,zip,30127;GA;Atlanta-Sandy Springs-Alpharetta GA;Powder Springs;Cobb County
69823,zip,28277;NC;Charlotte-Concord-Gastonia NC-SC;Charlotte;Mecklenburg County
92125,zip,77845;TX;College Station-Bryan TX;College Station;Brazos County
95770,zip,89031;NV;Las Vegas-Henderson-Paradise NV;North Las Vegas;Clark County
66705,zip,20906;MD;Washington-Arlington-Alexandria DC-VA-MD-WV;Silver Spring;Montgomery County
78085,zip,46307;IN;Chicago-Naperville-Elgin IL-IN-WI;Crown Point;Lake County
98411,zip,95747;CA;Sacramento-Roseville-Folsom CA;Roseville;Placer County
97743,zip,94536;CA;San Francisco-Oakland-Berkeley CA;Fremont;Alameda County
96918,zip,92563;CA;Riverside-San Bernardino-Ontario CA;Murrieta;Riverside County
77400,zip,45011;OH;Cincinnati OH-KY-IN;Hamilton;Butler County
99142,zip,97229;OR;Portland-Vancouver-Hillsboro OR-WA;Portland;Washington County
96110,zip,90255;CA;Los Angeles-Long Beach-Anaheim CA;Huntington Park;Los Angeles County
96647,zip,92105;CA;San Diego-Chula Vista-Carlsbad CA;San Diego;San Diego County
84616,zip,60614;IL;Chicago-Naperville-Elgin IL-IN-WI;Chicago;Cook County
96590,zip,92021;CA;San Diego-Chula Vista-Carlsbad CA;El Cajon;San Diego County
96477,zip,91730;CA;Riverside-San Bernardino-Ontario CA;Rancho Cucamonga;San Bernardino County
84622,zip,60620;IL;Chicago-Naperville-Elgin IL-IN-WI;Chicago;Cook County
72361,zip,33023;FL;Miami-Fort Lauderdale-Pompano Beach FL;Miramar;Broward County
97565,zip,94110;CA;San Francisco-Oakland-Berkeley CA;San Francisco;San Francisco County
94940,zip,85364;AZ;Yuma AZ;Yuma;Yuma County
60565,zip,7055;NJ;New York-Newark-Jersey City NY-NJ-PA;Passaic;Passaic County
91941,zip,77450;TX;Houston-The Woodlands-Sugar Land TX;Katy;Harris County
62024,zip,11213;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
78823,zip,47906;IN;Lafayette-West Lafayette IN;West Lafayette;Tippecanoe County
97717,zip,94509;CA;San Francisco-Oakland-Berkeley CA;Antioch;Contra Costa County
97118,zip,93065;CA;Oxnard-Thousand Oaks-Ventura CA;Simi Valley;Ventura County
274772,neigh,Northeast Dallas; TX; Dallas-Fort Worth-Arlington TX; Dallas County; Dallas
98378,zip,95687;CA;Vallejo CA;Vacaville;Solano County
62012,zip,11201;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
97075,zip,92882;CA;Riverside-San Bernardino-Ontario CA;Corona;Riverside County
60642,zip,7305;NJ;New York-Newark-Jersey City NY-NJ-PA;Jersey City;Hudson County
65791,zip,19124;PA;Philadelphia-Camden-Wilmington PA-NJ-DE-MD;Philadelphia;Philadelphia County
97764,zip,94558;CA;Napa CA;Napa;Napa County
97745,zip,94538;CA;San Francisco-Oakland-Berkeley CA;Fremont;Alameda County
273698,neigh,Far North; TX; Dallas-Fort Worth-Arlington TX; Dallas County; Dallas
395109,metro,Spartanburg SC
395028,metro,Roanoke VA
74156,zip,37075;TN;Nashville-Davidson--Murfreesboro--Franklin TN;Hendersonville;Sumner County
394579,metro,Evansville IN
395179,metro,Utica NY
96506,zip,91766;CA;Los Angeles-Long Beach-Anaheim CA;Pomona;Los Angeles County
97024,zip,92805;CA;Los Angeles-Long Beach-Anaheim CA;Anaheim;Orange County
92350,zip,78254;TX;San Antonio-New Braunfels TX;San Antonio;Bexar County
84641,zip,60641;IL;Chicago-Naperville-Elgin IL-IN-WI;Chicago;Cook County
92225,zip,78046;TX;Laredo TX;Laredo;Webb County
72350,zip,33012;FL;Miami-Fort Lauderdale-Pompano Beach FL;Hialeah;Miami-Dade County
72353,zip,33015;FL;Miami-Fort Lauderdale-Pompano Beach FL;Hialeah;Miami-Dade County
96186,zip,90631;CA;Los Angeles-Long Beach-Anaheim CA;La Habra;Orange County
93263,zip,80134;CO;Denver-Aurora-Lakewood CO;Parker;Douglas County
72488,zip,33186;FL;Miami-Fort Lauderdale-Pompano Beach FL;The Crossings;Miami-Dade County
71005,zip,30281;GA;Atlanta-Sandy Springs-Alpharetta GA;Stockbridge;Henry County
69699,zip,28078;NC;Charlotte-Concord-Gastonia NC-SC;Huntersville;Mecklenburg County
84640,zip,60640;IL;Chicago-Naperville-Elgin IL-IN-WI;Chicago;Cook County
275473,neigh,Southeast Dallas; TX; Dallas-Fort Worth-Arlington TX; Dallas County; Dallas
71871,zip,32218;FL;Jacksonville FL;Jacksonville;Duval County
94748,zip,85032;AZ;Phoenix-Mesa-Chandler AZ;Phoenix;Maricopa County
72737,zip,33647;FL;Tampa-St. Petersburg-Clearwater FL;Tampa;Hillsborough County
61957,zip,10977;NY;New York-Newark-Jersey City NY-NJ-PA;Spring Valley;Rockland County
65133,zip,17603;PA;Lancaster PA;Lancaster;Lancaster County
62021,zip,11210;NY;New York-Newark-Jersey City NY-NJ-PA;New York;Kings County
58710,zip,2301;MA;Boston-Cambridge-Newton MA-NH;Brockton;Plymouth County
